estimator,data_model,hurst,length,scenario,estimated_hurst,error,success,execution_time,framework
Adaptive_RS,fbm,0.7,1000,eeg_60hz_noise,0.16450396398372955,0.5354960360162704,True,0.7977185249328613,numba
Adaptive_DFA,fbm,0.7,1000,eeg_60hz_noise,0.008434145235884523,0.6915658547641155,True,0.05072617530822754,numba
Adaptive_DMA,fbm,0.7,1000,eeg_60hz_noise,0.021806223945911328,0.6781937760540886,True,0.0031137466430664062,numba
Adaptive_Higuchi,fbm,0.7,1000,eeg_60hz_noise,0.7674637989440738,0.06746379894407384,True,0.017908811569213867,numba
Adaptive_GPH,fbm,0.7,1000,eeg_60hz_noise,0.6365187186747789,0.06348128132522102,True,0.015838623046875,numba
Adaptive_Whittle,fbm,0.7,1000,eeg_60hz_noise,0.7,0.0,True,0.0027441978454589844,numba
Adaptive_Periodogram,fbm,0.7,1000,eeg_60hz_noise,0.48730237130075693,0.21269762869924302,True,0.008527994155883789,numba
Adaptive_RS,fbm,0.7,1000,eeg_movement_artifacts,0.7388737335023061,0.03887373350230616,True,0.9014878273010254,numba
Adaptive_DFA,fbm,0.7,1000,eeg_movement_artifacts,0.11269437348323524,0.5873056265167647,True,0.05589723587036133,numba
Adaptive_DMA,fbm,0.7,1000,eeg_movement_artifacts,0.059964298819955054,0.6400357011800449,True,0.0041577816009521484,numba
Adaptive_Higuchi,fbm,0.7,1000,eeg_movement_artifacts,1.082465349085468,0.38246534908546814,False,0.02026653289794922,numba
Adaptive_GPH,fbm,0.7,1000,eeg_movement_artifacts,0.7133514136075974,0.013351413607597395,True,0.01091909408569336,numba
Adaptive_Whittle,fbm,0.7,1000,eeg_movement_artifacts,0.7,0.0,True,0.0023565292358398438,numba
Adaptive_Periodogram,fbm,0.7,1000,eeg_movement_artifacts,0.5639180094003677,0.13608199059963222,True,0.00683283805847168,numba
Adaptive_RS,fgn,0.7,1000,pure,0.8105249451149354,0.11052494511493549,True,0.7234387397766113,numba
Adaptive_DFA,fgn,0.7,1000,pure,0.1306773108262472,0.5693226891737527,True,0.04648637771606445,numba
Adaptive_DMA,fgn,0.7,1000,pure,0.06553159621679644,0.6344684037832036,True,0.002988576889038086,numba
Adaptive_Higuchi,fgn,0.7,1000,pure,1.053949737359704,0.35394973735970403,False,0.018406152725219727,numba
Adaptive_GPH,fgn,0.7,1000,pure,0.99,0.29000000000000004,True,0.013209819793701172,numba
Adaptive_Whittle,fgn,0.7,1000,pure,0.7,0.0,True,0.0030629634857177734,numba
Adaptive_Periodogram,fgn,0.7,1000,pure,0.8844798803329468,0.18447988033294682,True,0.01199197769165039,numba
Adaptive_RS,fgn,0.7,1000,eeg_ocular_artifacts,0.9013104680793543,0.20131046807935438,True,0.9350244998931885,numba
Adaptive_DFA,fgn,0.7,1000,eeg_ocular_artifacts,0.8716121121376048,0.17161211213760486,True,0.05620074272155762,numba
Adaptive_DMA,fgn,0.7,1000,eeg_ocular_artifacts,0.03160706996680176,0.6683929300331982,True,0.004157066345214844,numba
Adaptive_Higuchi,fgn,0.7,1000,eeg_ocular_artifacts,1.883977168364314,1.183977168364314,False,0.020815610885620117,numba
Adaptive_GPH,fgn,0.7,1000,eeg_ocular_artifacts,0.99,0.29000000000000004,True,0.013480424880981445,numba
Adaptive_Whittle,fgn,0.7,1000,eeg_ocular_artifacts,0.7,0.0,True,0.0027017593383789062,numba
Adaptive_Periodogram,fgn,0.7,1000,eeg_ocular_artifacts,0.99,0.29000000000000004,True,0.01433873176574707,numba
